"Timestamp","Temp","RDO","RDO.Sat","Depth","Datetime","Date","Time","id"
"2016-04-19 09:48:09",7.24,12.49,104.1,0.62,2016-04-19 09:48:09,2016-04-19,09:48:09,1
"2016-04-19 09:48:16",7.22,12.53,104.3,0.62,2016-04-19 09:48:16,2016-04-19,09:48:16,2
"2016-04-19 09:48:26",7.16,12.53,104.2,0.61,2016-04-19 09:48:26,2016-04-19,09:48:26,3
"2016-04-19 09:48:36",7.13,12.54,104.3,0.62,2016-04-19 09:48:36,2016-04-19,09:48:36,4
"2016-04-19 09:48:46",7.08,12.55,104.3,1.14,2016-04-19 09:48:46,2016-04-19,09:48:46,5
"2016-04-19 09:48:55",7.08,12.57,104.3,1.33,2016-04-19 09:48:55,2016-04-19,09:48:55,6
"2016-04-19 09:49:06",7.08,12.57,104.3,1.48,2016-04-19 09:49:06,2016-04-19,09:49:06,7
"2016-04-19 09:49:16",7.06,12.56,104.2,1.64,2016-04-19 09:49:16,2016-04-19,09:49:16,8
"2016-04-19 09:49:26",7.03,12.56,104.2,1.86,2016-04-19 09:49:26,2016-04-19,09:49:26,9
"2016-04-19 09:49:36",7,12.58,104.2,2.21,2016-04-19 09:49:36,2016-04-19,09:49:36,10
"2016-04-19 09:49:45",6.98,12.58,104.1,2.41,2016-04-19 09:49:45,2016-04-19,09:49:45,11
"2016-04-19 09:49:56",6.94,12.58,104.1,2.79,2016-04-19 09:49:56,2016-04-19,09:49:56,12
"2016-04-19 09:50:06",6.94,12.58,104.1,3.01,2016-04-19 09:50:06,2016-04-19,09:50:06,13
"2016-04-19 09:50:16",6.93,12.58,104,3.22,2016-04-19 09:50:16,2016-04-19,09:50:16,14
"2016-04-19 09:50:26",6.88,12.57,103.9,3.41,2016-04-19 09:50:26,2016-04-19,09:50:26,15
"2016-04-19 09:50:36",6.86,12.57,103.8,3.73,2016-04-19 09:50:36,2016-04-19,09:50:36,16
"2016-04-19 09:50:46",6.85,12.59,104,3.96,2016-04-19 09:50:46,2016-04-19,09:50:46,17
"2016-04-19 09:50:55",6.83,12.61,104,4.07,2016-04-19 09:50:55,2016-04-19,09:50:55,18
"2016-04-19 09:51:06",6.83,12.61,104,4.15,2016-04-19 09:51:06,2016-04-19,09:51:06,19
"2016-04-19 09:51:16",6.8,12.61,104,4.37,2016-04-19 09:51:16,2016-04-19,09:51:16,20
"2016-04-19 09:51:26",6.79,12.63,104.1,4.53,2016-04-19 09:51:26,2016-04-19,09:51:26,21
"2016-04-19 09:51:36",6.78,12.62,104,4.86,2016-04-19 09:51:36,2016-04-19,09:51:36,22
"2016-04-19 09:51:45",6.77,12.63,104.1,5.13,2016-04-19 09:51:45,2016-04-19,09:51:45,23
"2016-04-19 09:51:56",6.76,12.62,104,5.13,2016-04-19 09:51:56,2016-04-19,09:51:56,24
"2016-04-19 09:52:06",6.73,12.62,103.8,5.36,2016-04-19 09:52:06,2016-04-19,09:52:06,25
"2016-04-19 09:52:16",6.65,12.59,103.5,5.58,2016-04-19 09:52:16,2016-04-19,09:52:16,26
"2016-04-19 09:52:26",6.64,12.58,103.2,5.86,2016-04-19 09:52:26,2016-04-19,09:52:26,27
"2016-04-19 09:52:36",6.59,12.55,103,6.11,2016-04-19 09:52:36,2016-04-19,09:52:36,28
"2016-04-19 09:52:46",6.56,12.55,102.9,6.42,2016-04-19 09:52:46,2016-04-19,09:52:46,29
"2016-04-19 09:52:55",6.53,12.55,102.8,6.63,2016-04-19 09:52:55,2016-04-19,09:52:55,30
"2016-04-19 09:53:06",6.49,12.54,102.6,6.84,2016-04-19 09:53:06,2016-04-19,09:53:06,31
"2016-04-19 09:53:16",6.45,12.53,102.4,7.13,2016-04-19 09:53:16,2016-04-19,09:53:16,32
"2016-04-19 09:53:26",6.44,12.52,102.3,7.34,2016-04-19 09:53:26,2016-04-19,09:53:26,33
"2016-04-19 09:53:36",6.39,12.52,102.2,7.55,2016-04-19 09:53:36,2016-04-19,09:53:36,34
"2016-04-19 09:53:45",6.39,12.53,102.2,7.75,2016-04-19 09:53:45,2016-04-19,09:53:45,35
"2016-04-19 09:53:56",6.37,12.52,102.1,7.98,2016-04-19 09:53:56,2016-04-19,09:53:56,36
"2016-04-19 09:54:06",6.35,12.51,102,8.01,2016-04-19 09:54:06,2016-04-19,09:54:06,37
"2016-04-19 09:54:16",6.35,12.54,102.2,8.01,2016-04-19 09:54:16,2016-04-19,09:54:16,38
"2016-04-19 09:54:26",6.34,12.53,102.1,8.28,2016-04-19 09:54:26,2016-04-19,09:54:26,39
"2016-04-19 09:54:36",6.3,12.53,102,8.44,2016-04-19 09:54:36,2016-04-19,09:54:36,40
"2016-04-19 09:54:46",6.29,12.53,102,8.64,2016-04-19 09:54:46,2016-04-19,09:54:46,41
"2016-04-19 09:54:55",6.25,12.52,101.8,8.97,2016-04-19 09:54:55,2016-04-19,09:54:55,42
"2016-04-19 09:55:06",6.25,12.53,101.8,9.11,2016-04-19 09:55:06,2016-04-19,09:55:06,43
"2016-04-19 09:55:16",6.25,12.53,101.8,9.38,2016-04-19 09:55:16,2016-04-19,09:55:16,44
"2016-04-19 09:55:26",6.22,12.52,101.7,9.6,2016-04-19 09:55:26,2016-04-19,09:55:26,45
"2016-04-19 09:55:36",6.23,12.51,101.6,9.67,2016-04-19 09:55:36,2016-04-19,09:55:36,46
"2016-04-19 09:55:45",6.2,12.52,101.7,9.9,2016-04-19 09:55:45,2016-04-19,09:55:45,47
