"Timestamp","Datetime","Date","Time","Location"
"2016-04-18 08:26:18",2016-04-18 08:26:18,2016-04-18,08:26:18,"East Pond"
"2016-04-18 08:26:23",2016-04-18 08:26:23,2016-04-18,08:26:23,"East Pond"
"2016-04-18 08:26:33",2016-04-18 08:26:33,2016-04-18,08:26:33,"East Pond"
"2016-04-18 08:26:43",2016-04-18 08:26:43,2016-04-18,08:26:43,"East Pond"
"2016-04-18 08:26:53",2016-04-18 08:26:53,2016-04-18,08:26:53,"East Pond"
"2016-04-18 08:27:03",2016-04-18 08:27:03,2016-04-18,08:27:03,"East Pond"
"2016-04-18 08:27:13",2016-04-18 08:27:13,2016-04-18,08:27:13,"East Pond"
"2016-04-18 08:27:22",2016-04-18 08:27:22,2016-04-18,08:27:22,"East Pond"
"2016-04-18 08:27:33",2016-04-18 08:27:33,2016-04-18,08:27:33,"East Pond"
"2016-04-18 08:27:50",2016-04-18 08:27:50,2016-04-18,08:27:50,"East Pond"
"2016-04-18 08:28:00",2016-04-18 08:28:00,2016-04-18,08:28:00,"East Pond"
"2016-04-18 08:28:10",2016-04-18 08:28:10,2016-04-18,08:28:10,"East Pond"
"2016-04-18 08:28:20",2016-04-18 08:28:20,2016-04-18,08:28:20,"East Pond"
"2016-04-18 08:28:30",2016-04-18 08:28:30,2016-04-18,08:28:30,"East Pond"
"2016-04-18 08:28:40",2016-04-18 08:28:40,2016-04-18,08:28:40,"East Pond"
"2016-04-18 08:28:50",2016-04-18 08:28:50,2016-04-18,08:28:50,"East Pond"
"2016-04-18 08:29:00",2016-04-18 08:29:00,2016-04-18,08:29:00,"East Pond"
"2016-04-18 08:29:10",2016-04-18 08:29:10,2016-04-18,08:29:10,"East Pond"
"2016-04-18 08:29:20",2016-04-18 08:29:20,2016-04-18,08:29:20,"East Pond"
"2016-04-18 08:29:30",2016-04-18 08:29:30,2016-04-18,08:29:30,"East Pond"
"2016-04-18 08:29:40",2016-04-18 08:29:40,2016-04-18,08:29:40,"East Pond"
"2016-04-18 08:29:50",2016-04-18 08:29:50,2016-04-18,08:29:50,"East Pond"
"2016-04-18 08:30:00",2016-04-18 08:30:00,2016-04-18,08:30:00,"East Pond"
"2016-04-18 08:30:10",2016-04-18 08:30:10,2016-04-18,08:30:10,"East Pond"
"2016-04-18 08:30:20",2016-04-18 08:30:20,2016-04-18,08:30:20,"East Pond"
"2016-04-18 08:30:30",2016-04-18 08:30:30,2016-04-18,08:30:30,"East Pond"
"2016-04-18 08:30:40",2016-04-18 08:30:40,2016-04-18,08:30:40,"East Pond"
"2016-04-18 08:30:50",2016-04-18 08:30:50,2016-04-18,08:30:50,"East Pond"
"2016-04-18 08:31:00",2016-04-18 08:31:00,2016-04-18,08:31:00,"East Pond"
"2016-04-18 08:31:10",2016-04-18 08:31:10,2016-04-18,08:31:10,"East Pond"
"2016-04-18 08:31:20",2016-04-18 08:31:20,2016-04-18,08:31:20,"East Pond"
"2016-04-18 08:31:30",2016-04-18 08:31:30,2016-04-18,08:31:30,"East Pond"
"2016-04-18 08:31:40",2016-04-18 08:31:40,2016-04-18,08:31:40,"East Pond"
