"Timestamp","Datetime","Date","Time","Location"
"2016-05-12 08:30:31",2016-05-12 08:30:31,2016-05-12,08:30:31,"Messalonskee"
"2016-05-12 08:30:31",2016-05-12 08:30:31,2016-05-12,08:30:31,"Messalonskee"
"2016-05-12 08:30:41",2016-05-12 08:30:41,2016-05-12,08:30:41,"Messalonskee"
"2016-05-12 08:30:51",2016-05-12 08:30:51,2016-05-12,08:30:51,"Messalonskee"
"2016-05-12 08:31:01",2016-05-12 08:31:01,2016-05-12,08:31:01,"Messalonskee"
"2016-05-12 08:31:11",2016-05-12 08:31:11,2016-05-12,08:31:11,"Messalonskee"
"2016-05-12 08:31:21",2016-05-12 08:31:21,2016-05-12,08:31:21,"Messalonskee"
"2016-05-12 08:31:31",2016-05-12 08:31:31,2016-05-12,08:31:31,"Messalonskee"
"2016-05-12 08:31:41",2016-05-12 08:31:41,2016-05-12,08:31:41,"Messalonskee"
"2016-05-12 08:31:51",2016-05-12 08:31:51,2016-05-12,08:31:51,"Messalonskee"
"2016-05-12 08:32:01",2016-05-12 08:32:01,2016-05-12,08:32:01,"Messalonskee"
"2016-05-12 08:32:11",2016-05-12 08:32:11,2016-05-12,08:32:11,"Messalonskee"
"2016-05-12 08:32:21",2016-05-12 08:32:21,2016-05-12,08:32:21,"Messalonskee"
"2016-05-12 08:32:31",2016-05-12 08:32:31,2016-05-12,08:32:31,"Messalonskee"
"2016-05-12 08:32:41",2016-05-12 08:32:41,2016-05-12,08:32:41,"Messalonskee"
"2016-05-12 08:32:51",2016-05-12 08:32:51,2016-05-12,08:32:51,"Messalonskee"
"2016-05-12 08:33:01",2016-05-12 08:33:01,2016-05-12,08:33:01,"Messalonskee"
"2016-05-12 08:33:11",2016-05-12 08:33:11,2016-05-12,08:33:11,"Messalonskee"
"2016-05-12 08:33:21",2016-05-12 08:33:21,2016-05-12,08:33:21,"Messalonskee"
"2016-05-12 08:33:31",2016-05-12 08:33:31,2016-05-12,08:33:31,"Messalonskee"
"2016-05-12 08:33:41",2016-05-12 08:33:41,2016-05-12,08:33:41,"Messalonskee"
"2016-05-12 08:33:51",2016-05-12 08:33:51,2016-05-12,08:33:51,"Messalonskee"
"2016-05-12 08:34:01",2016-05-12 08:34:01,2016-05-12,08:34:01,"Messalonskee"
"2016-05-12 08:34:11",2016-05-12 08:34:11,2016-05-12,08:34:11,"Messalonskee"
"2016-05-12 08:34:21",2016-05-12 08:34:21,2016-05-12,08:34:21,"Messalonskee"
"2016-05-12 08:34:31",2016-05-12 08:34:31,2016-05-12,08:34:31,"Messalonskee"
"2016-05-12 08:34:41",2016-05-12 08:34:41,2016-05-12,08:34:41,"Messalonskee"
"2016-05-12 08:34:51",2016-05-12 08:34:51,2016-05-12,08:34:51,"Messalonskee"
"2016-05-12 08:35:01",2016-05-12 08:35:01,2016-05-12,08:35:01,"Messalonskee"
"2016-05-12 08:35:11",2016-05-12 08:35:11,2016-05-12,08:35:11,"Messalonskee"
"2016-05-12 08:35:21",2016-05-12 08:35:21,2016-05-12,08:35:21,"Messalonskee"
"2016-05-12 08:35:31",2016-05-12 08:35:31,2016-05-12,08:35:31,"Messalonskee"
"2016-05-12 08:35:41",2016-05-12 08:35:41,2016-05-12,08:35:41,"Messalonskee"
"2016-05-12 08:35:51",2016-05-12 08:35:51,2016-05-12,08:35:51,"Messalonskee"
"2016-05-12 08:36:01",2016-05-12 08:36:01,2016-05-12,08:36:01,"Messalonskee"
"2016-05-12 08:36:11",2016-05-12 08:36:11,2016-05-12,08:36:11,"Messalonskee"
"2016-05-12 08:36:21",2016-05-12 08:36:21,2016-05-12,08:36:21,"Messalonskee"
"2016-05-12 08:36:41",2016-05-12 08:36:41,2016-05-12,08:36:41,"Messalonskee"
"2016-05-12 08:36:51",2016-05-12 08:36:51,2016-05-12,08:36:51,"Messalonskee"
"2016-05-12 08:37:01",2016-05-12 08:37:01,2016-05-12,08:37:01,"Messalonskee"
"2016-05-12 08:37:11",2016-05-12 08:37:11,2016-05-12,08:37:11,"Messalonskee"
"2016-05-12 08:37:21",2016-05-12 08:37:21,2016-05-12,08:37:21,"Messalonskee"
"2016-05-12 08:37:31",2016-05-12 08:37:31,2016-05-12,08:37:31,"Messalonskee"
"2016-05-12 08:37:41",2016-05-12 08:37:41,2016-05-12,08:37:41,"Messalonskee"
"2016-05-12 08:37:51",2016-05-12 08:37:51,2016-05-12,08:37:51,"Messalonskee"
"2016-05-12 08:38:01",2016-05-12 08:38:01,2016-05-12,08:38:01,"Messalonskee"
"2016-05-12 08:38:11",2016-05-12 08:38:11,2016-05-12,08:38:11,"Messalonskee"
"2016-05-12 08:38:21",2016-05-12 08:38:21,2016-05-12,08:38:21,"Messalonskee"
"2016-05-12 08:38:31",2016-05-12 08:38:31,2016-05-12,08:38:31,"Messalonskee"
"2016-05-12 08:38:41",2016-05-12 08:38:41,2016-05-12,08:38:41,"Messalonskee"
"2016-05-12 08:38:51",2016-05-12 08:38:51,2016-05-12,08:38:51,"Messalonskee"
"2016-05-12 08:39:01",2016-05-12 08:39:01,2016-05-12,08:39:01,"Messalonskee"
"2016-05-12 08:39:11",2016-05-12 08:39:11,2016-05-12,08:39:11,"Messalonskee"
"2016-05-12 08:39:21",2016-05-12 08:39:21,2016-05-12,08:39:21,"Messalonskee"
"2016-05-12 08:39:31",2016-05-12 08:39:31,2016-05-12,08:39:31,"Messalonskee"
"2016-05-12 08:39:41",2016-05-12 08:39:41,2016-05-12,08:39:41,"Messalonskee"
"2016-05-12 08:39:51",2016-05-12 08:39:51,2016-05-12,08:39:51,"Messalonskee"
"2016-05-12 08:40:01",2016-05-12 08:40:01,2016-05-12,08:40:01,"Messalonskee"
"2016-05-12 08:40:11",2016-05-12 08:40:11,2016-05-12,08:40:11,"Messalonskee"
"2016-05-12 08:40:21",2016-05-12 08:40:21,2016-05-12,08:40:21,"Messalonskee"
"2016-05-12 08:40:31",2016-05-12 08:40:31,2016-05-12,08:40:31,"Messalonskee"
"2016-05-12 08:40:41",2016-05-12 08:40:41,2016-05-12,08:40:41,"Messalonskee"
"2016-05-12 08:40:51",2016-05-12 08:40:51,2016-05-12,08:40:51,"Messalonskee"
"2016-05-12 08:41:01",2016-05-12 08:41:01,2016-05-12,08:41:01,"Messalonskee"
