"Timestamp","Datetime","Date","Time","Location"
"2016-05-11 14:41:51",2016-05-11 14:41:51,2016-05-11,14:41:51,"North Pond"
"2016-05-11 14:41:58",2016-05-11 14:41:58,2016-05-11,14:41:58,"North Pond"
"2016-05-11 14:42:08",2016-05-11 14:42:08,2016-05-11,14:42:08,"North Pond"
"2016-05-11 14:42:18",2016-05-11 14:42:18,2016-05-11,14:42:18,"North Pond"
"2016-05-11 14:42:28",2016-05-11 14:42:28,2016-05-11,14:42:28,"North Pond"
"2016-05-11 14:42:38",2016-05-11 14:42:38,2016-05-11,14:42:38,"North Pond"
"2016-05-11 14:42:48",2016-05-11 14:42:48,2016-05-11,14:42:48,"North Pond"
"2016-05-11 14:42:58",2016-05-11 14:42:58,2016-05-11,14:42:58,"North Pond"
"2016-05-11 14:43:08",2016-05-11 14:43:08,2016-05-11,14:43:08,"North Pond"
"2016-05-11 14:43:18",2016-05-11 14:43:18,2016-05-11,14:43:18,"North Pond"
"2016-05-11 14:43:28",2016-05-11 14:43:28,2016-05-11,14:43:28,"North Pond"
"2016-05-11 14:43:38",2016-05-11 14:43:38,2016-05-11,14:43:38,"North Pond"
"2016-05-11 14:43:48",2016-05-11 14:43:48,2016-05-11,14:43:48,"North Pond"
"2016-05-11 14:43:58",2016-05-11 14:43:58,2016-05-11,14:43:58,"North Pond"
"2016-05-11 14:44:08",2016-05-11 14:44:08,2016-05-11,14:44:08,"North Pond"
"2016-05-11 14:44:18",2016-05-11 14:44:18,2016-05-11,14:44:18,"North Pond"
"2016-05-11 14:44:28",2016-05-11 14:44:28,2016-05-11,14:44:28,"North Pond"
"2016-05-11 14:44:38",2016-05-11 14:44:38,2016-05-11,14:44:38,"North Pond"
"2016-05-11 14:44:48",2016-05-11 14:44:48,2016-05-11,14:44:48,"North Pond"
"2016-05-11 14:44:58",2016-05-11 14:44:58,2016-05-11,14:44:58,"North Pond"
"2016-05-11 14:45:08",2016-05-11 14:45:08,2016-05-11,14:45:08,"North Pond"
"2016-05-11 14:45:18",2016-05-11 14:45:18,2016-05-11,14:45:18,"North Pond"
"2016-05-11 14:45:28",2016-05-11 14:45:28,2016-05-11,14:45:28,"North Pond"
"2016-05-11 14:45:38",2016-05-11 14:45:38,2016-05-11,14:45:38,"North Pond"
"2016-05-11 14:45:48",2016-05-11 14:45:48,2016-05-11,14:45:48,"North Pond"
"2016-05-11 14:45:58",2016-05-11 14:45:58,2016-05-11,14:45:58,"North Pond"
"2016-05-11 14:46:08",2016-05-11 14:46:08,2016-05-11,14:46:08,"North Pond"
"2016-05-11 14:46:18",2016-05-11 14:46:18,2016-05-11,14:46:18,"North Pond"
"2016-05-11 14:46:28",2016-05-11 14:46:28,2016-05-11,14:46:28,"North Pond"
"2016-05-11 14:46:38",2016-05-11 14:46:38,2016-05-11,14:46:38,"North Pond"
"2016-05-11 14:46:48",2016-05-11 14:46:48,2016-05-11,14:46:48,"North Pond"
"2016-05-11 14:46:58",2016-05-11 14:46:58,2016-05-11,14:46:58,"North Pond"
"2016-05-11 14:47:08",2016-05-11 14:47:08,2016-05-11,14:47:08,"North Pond"
"2016-05-11 14:47:18",2016-05-11 14:47:18,2016-05-11,14:47:18,"North Pond"
