"","Created","Baro..mbar.","Temp..C.","RDO..mg.L.","RDO.Sat....","pH..pH.","ORP..mV.","Act.Cond..µS.cm.","Sp.Cond..µS.cm.","Salinity..psu.","Resist..Ohm.cm.","Density..g.cm.3.","TDS..ppt.","Depth..m.","Pressure..psi.","Air.Temp..C."
"1","","","","","","","","","","","","","","","",""
"2","05/04/2017 13:07","1013.9","8.26","11.87","100.8","6.73","108.1","36.1","53","0","27730","1","0","0.56","0.794","21.8"
"3","05/04/2017 13:07","1013.9","8.27","11.87","100.8","6.74","107.3","36.1","53","0","27730","1","0","0.57","0.808","21.8"
"4","05/04/2017 13:07","1014","8.12","11.82","100.2","6.72","108.8","36.1","53.2","0","27704","1","0","0.85","1.214","21.9"
"5","05/04/2017 13:07","1013.9","7.9","11.82","99.8","6.7","109","35.8","53","0","27934","1","0","1.14","1.615","21.9"
"6","05/04/2017 13:08","1013.9","7.81","11.82","99.4","6.72","108.9","35.6","52.9","0","28110","1","0","1.28","1.818","22"
"7","05/04/2017 13:08","1014","7.73","11.85","99.4","6.71","108.1","35.6","53","0","28128","1","0","1.47","2.095","22.1"
"8","05/04/2017 13:08","1013.9","7.69","11.85","99.3","6.71","108.1","35.5","53","0","28194","1","0","1.6","2.276","22"
"9","05/04/2017 13:08","1013.9","7.61","11.85","99.2","6.71","108.5","35.4","53","0","28228","1","0","1.78","2.535","22.1"
"10","05/04/2017 13:08","1013.8","7.56","11.86","99.1","6.69","108.9","35.4","53","0","28251","1","0","1.95","2.773","22.1"
"11","05/04/2017 13:08","1013.9","7.51","11.86","99","6.71","109.2","35.3","53","0","28294","1","0","2.17","3.092","22.1"
"12","05/04/2017 13:09","1013.9","7.47","11.87","98.9","6.69","108.5","35.3","53","0","28355","1","0","2.4","3.415","22.2"
"13","05/04/2017 13:09","1013.9","7.42","11.86","98.7","6.7","107.9","35.2","53","0","28379","1","0","2.64","3.756","22.2"
"14","05/04/2017 13:09","1013.9","7.37","11.85","98.6","6.7","107.7","35.2","53","0","28397","1","0","2.84","4.038","22.2"
"15","05/04/2017 13:09","1014","7.28","11.86","98.5","6.71","107.7","35.1","52.9","0","28481","1","0","3.04","4.326","22.3"
"16","05/04/2017 13:09","1013.9","7.17","11.9","98.5","6.71","107.5","34.9","52.9","0","28636","1","0","3.31","4.704","22.3"
"17","05/04/2017 13:09","1013.9","7.12","11.9","98.2","6.7","107.6","34.9","53","0","28628","1","0","3.5","4.98","22.4"
"18","05/04/2017 13:10","1013.9","7.08","11.89","98.2","6.7","107.3","34.9","53","0","28655","1","0","3.71","5.271","22.4"
"19","05/04/2017 13:10","1013.9","7.05","11.9","98.2","6.72","106.8","34.9","53","0","28691","1","0","3.83","5.443","22.4"
