"","Created","Baro..mbar.","Temp..C.","RDO..mg.L.","RDO.Sat....","pH..pH.","ORP..mV.","Act.Cond..µS.cm.","Sp.Cond..µS.cm.","Salinity..psu.","Resist..Ohm.cm.","Density..g.cm.3.","TDS..ppt.","Depth..m.","Pressure..psi.","Air.Temp..C.","YearDay"
"1","","","","","","","","","","","","","","","","",""
"2","2017-05-09 13:35:21","1005.9","11.37","11.39","105","7.23","164","35","47.3","0","28567","1","0","0.36","0.509","15.9","129"
"3","2017-05-09 13:35:31","1006","11.36","11.41","105.1","7.09","163.2","35","47.4","0","28565","1","0","0.55","0.784","15.9","129"
"4","2017-05-09 13:35:41","1006","11.31","11.38","104.8","7","162.9","34.9","47.1","0","28694","1","0","0.73","1.036","16","129"
"5","2017-05-09 13:35:51","1005.9","11.29","11.39","104.8","6.88","161.2","34.9","47.3","0","28629","1","0","0.71","1.012","16","129"
"6","2017-05-09 13:36:01","1006","11.28","11.39","104.8","6.8","160.2","34.9","47.3","0","28665","1","0","0.8","1.134","16.1","129"
"7","2017-05-09 13:36:11","1005.9","11.15","11.36","104.4","6.74","158.3","34.7","47.1","0","28825","1","0","0.94","1.343","16.1","129"
"8","2017-05-09 13:36:21","1006","10.95","11.38","104.2","6.67","158","34.4","46.9","0","29031","1","0","1.02","1.448","16.1","129"
"9","2017-05-09 13:36:31","1005.9","10.92","11.4","103.9","6.64","157.3","34.6","47.3","0","28921","1","0","1.05","1.498","16.2","129"
"10","2017-05-09 13:36:41","1006","10.87","11.4","103.9","6.63","155.5","34.5","47.2","0","28993","1","0","1.12","1.597","16.2","129"
"11","2017-05-09 13:36:51","1006","10.82","11.4","103.8","6.57","156.7","34.4","47.2","0","29052","1","0","1.22","1.732","16.2","129"
"12","2017-05-09 13:37:01","1006","10.74","11.44","103.9","6.55","156.1","34.2","47","0","29219","1","0","1.35","1.916","16.3","129"
"13","2017-05-09 13:37:11","1006","10.73","11.43","103.8","6.54","155.5","34.2","47","0","29229","1","0","1.43","2.04","16.3","129"
"14","2017-05-09 13:37:21","1006.1","10.73","11.44","103.8","6.53","155.2","34.2","47","0","29265","1","0","1.64","2.333","16.3","129"
"15","2017-05-09 13:37:31","1006","10.71","11.44","103.8","6.52","154.8","34.3","47.1","0","29193","1","0","1.84","2.611","16.3","129"
"16","2017-05-09 13:37:41","1006.1","10.68","11.44","103.7","6.52","154.5","34.2","47.1","0","29225","1","0","1.97","2.798","16.3","129"
"17","2017-05-09 13:37:51","1006","10.59","11.43","103.6","6.52","155.1","34.1","47.1","0","29284","1","0","2.14","3.042","16.4","129"
"18","2017-05-09 13:38:01","1005.9","10.55","11.45","103.6","6.52","154","34.2","47.2","0","29239","1","0","2.28","3.246","16.4","129"
"19","2017-05-09 13:38:11","1006","10.5","11.45","103.5","6.55","155.5","34.2","47.3","0","29238","1","0","2.34","3.331","16.4","129"
"20","2017-05-09 13:38:21","1006","10.46","11.47","103.5","6.52","153.8","34.1","47.2","0","29341","1","0","2.48","3.523","16.4","129"
"21","2017-05-09 13:38:31","1006","10.45","11.46","103.4","6.54","152.8","34.1","47.3","0","29295","1","0","2.61","3.709","16.4","129"
"22","2017-05-09 13:38:41","1006","10.43","11.47","103.5","6.53","153","34","47","0","29436","1","0","2.74","3.901","16.4","129"
"23","2017-05-09 13:38:51","1005.9","10.41","11.47","103.4","6.54","152.4","34","47.2","0","29383","1","0","2.91","4.141","16.4","129"
"24","2017-05-09 13:39:01","1006","10.4","11.48","103.4","6.56","153.4","34","47.1","0","29451","1","0","3.02","4.301","16.4","129"
"25","2017-05-09 13:39:11","1006","10.36","11.48","103.4","6.53","152.5","33.9","47","0","29497","1","0","3.19","4.544","16.4","129"
"26","2017-05-09 13:39:21","1006.1","10.31","11.48","103.3","6.56","152.2","33.9","47.1","0","29498","1","0","3.4","4.829","16.4","129"
"27","2017-05-09 13:39:31","1006","10.27","11.49","103.2","6.55","151.5","33.8","47.1","0","29544","1","0","3.57","5.078","16.4","129"
"28","2017-05-09 13:39:41","1006","10.27","11.49","103.2","6.55","151.7","33.7","46.9","0","29659","1","0","3.73","5.311","16.4","129"
"29","2017-05-09 13:39:51","1006","10.22","11.47","103","6.54","151.8","33.7","46.9","0","29697","1","0","3.92","5.579","16.4","129"
"30","2017-05-09 13:40:01","1006","10.22","11.48","103","6.54","152.5","33.7","47","0","29657","1","0","4.04","5.751","16.4","129"
"31","2017-05-09 13:40:11","1006","10.21","11.45","102.7","6.55","152.1","33.7","47","0","29661","1","0","4.35","6.193","16.4","129"
"32","2017-05-09 13:40:21","1005.9","10.19","11.45","102.7","6.58","150.2","33.7","46.9","0","29699","1","0","4.48","6.373","16.4","129"
"33","2017-05-09 13:40:31","1006","10.17","11.42","102.3","6.57","150.5","33.6","46.9","0","29735","1","0","4.68","6.661","16.4","129"
"34","2017-05-09 13:40:41","1006.1","10.14","11.39","102","6.56","150.8","33.6","46.9","0","29746","1","0","4.84","6.89","16.4","129"
"35","2017-05-09 13:40:51","1006.1","10.13","11.37","101.8","6.57","150.6","33.7","47","0","29746","1","0","5.1","7.255","16.4","129"
"36","2017-05-09 13:41:01","1006.1","10.13","11.36","101.7","6.57","151.8","33.6","47","0","29726","1","0","5.28","7.507","16.5","129"
"37","2017-05-09 13:41:11","1006.1","10.13","11.33","101.4","6.58","151.2","33.6","47","0","29734","1","0","5.5","7.816","16.5","129"
"38","2017-05-09 13:41:21","1006","10.12","11.33","101.4","6.56","150.9","33.7","47","0","29716","1","0","5.75","8.172","16.5","129"
"39","2017-05-09 13:41:31","1006","10.13","11.34","101.5","6.58","150.7","33.7","47","0","29704","1","0","5.93","8.438","16.5","129"
"40","2017-05-09 13:41:41","1006.1","10.11","11.35","101.6","6.58","149.8","33.6","47","0","29727","1","0","5.98","8.503","16.5","129"
"41","2017-05-09 13:41:51","1006","10.11","11.34","101.5","6.58","149.8","33.6","47","0","29732","1","0","6.12","8.704","16.5","129"
"42","2017-05-09 13:42:01","1006.1","10.11","11.34","101.5","6.58","150","33.6","46.9","0","29765","1","0","6.19","8.807","16.6","129"
"43","2017-05-09 13:42:11","1006.1","10.1","11.33","101.4","6.59","150.1","33.6","46.9","0","29776","1","0","6.33","9.004","16.6","129"
"44","2017-05-09 13:42:21","1006.1","10.11","11.34","101.4","6.61","148.8","33.6","47","0","29734","1","0","6.4","9.099","16.6","129"
"45","2017-05-09 13:42:31","1006","10.1","11.34","101.5","6.59","150.2","33.6","47","0","29761","1","0","6.53","9.29","16.6","129"
"46","2017-05-09 13:42:41","1006.1","10.1","11.33","101.3","6.6","149.3","33.6","47","0","29772","1","0","6.66","9.472","16.6","129"
"47","2017-05-09 13:42:51","1006.1","10.1","11.34","101.4","6.59","149.6","33.6","47","0","29773","1","0","6.76","9.621","16.7","129"
"48","2017-05-09 13:43:01","1006","10.1","11.33","101.4","6.61","148.2","33.6","46.9","0","29781","1","0","6.91","9.831","16.7","129"
"49","2017-05-09 13:43:11","1006.1","10.09","11.31","101.2","6.64","147.1","33.7","47.1","0","29672","1","0","6.92","9.845","16.7","129"
"50","2017-05-09 13:43:21","1006.1","10.09","11.32","101.3","6.64","147.5","34","47.5","0","29453","1","0","6.94","9.868","16.7","129"
"51","2017-05-09 13:43:31","1006","10.1","11.32","101.2","6.64","147.7","34.4","48.1","0","29088","1","0","6.95","9.879","16.7","129"
"52","2017-05-09 13:43:41","1006.1","10.08","11.33","101.3","6.61","149.3","33.9","47.3","0","29541","1","0","6.93","9.851","16.7","129"
"53","2017-05-09 13:43:51","1006.1","10.09","11.29","100.9","6.63","122.1","33.9","47.3","0","29538","1","0","6.94","9.865","16.8","129"
"54","2017-05-09 13:44:01","1006","10.09","11.27","100.8","6.63","108.4","33.6","46.9","0","29784","1","0","6.93","9.855","16.8","129"
"55","2017-05-09 13:44:11","1006","10.08","11.27","100.8","6.63","93.2","33.8","47.2","0","29627","1","0","6.94","9.87","16.8","129"
"56","2017-05-09 13:44:21","1006","10.08","11.26","100.7","6.64","93","34.3","48","0","29113","1","0","6.93","9.853","16.8","129"
"57","2017-05-09 13:44:31","1006.1","10.08","11.27","100.8","6.65","94.6","34.9","48.8","0","28672","1","0","6.93","9.851","16.8","129"
"58","2017-05-09 13:44:41","1006","10.08","11.28","100.9","6.65","98.9","34.4","48.1","0","29095","1","0","6.93","9.855","16.8","129"
"59","2017-05-09 13:44:51","1006.1","10.08","11.28","100.8","6.65","102.2","34.6","48.4","0","28920","1","0","6.93","9.861","16.9","129"
"60","2017-05-09 13:45:01","1006","10.08","11.29","101","6.65","104.7","34.4","48.1","0","29046","1","0","6.96","9.896","16.9","129"
"61","2017-05-09 13:45:11","1006","10.08","11.3","101","6.65","107.1","34.4","48.1","0","29081","1","0","6.97","9.917","16.9","129"
"62","2017-05-09 13:45:21","1006","10.08","11.31","101.1","6.66","109.4","34.4","48.1","0","29057","1","0","7","9.956","16.9","129"
"63","2017-05-09 13:45:31","1006.1","10.08","11.31","101.1","6.66","111.3","34.4","48.1","0","29054","1","0","7.01","9.965","17","129"
"64","2017-05-09 13:45:41","1006.1","10.08","11.31","101.1","6.66","112.4","34.4","48.1","0","29049","1","0","6.98","9.924","17","129"
"65","2017-05-09 13:45:51","1006","10.08","11.31","101.1","6.66","111.9","34.5","48.3","0","28976","1","0","7","9.951","17","129"
"66","2017-05-09 13:46:01","1006","10.08","11.31","101.1","6.65","111.7","34.9","48.8","0","28687","1","0","7.01","9.964","17.1","129"
"67","2017-05-09 13:46:11","1006","10.08","11.29","101","6.63","111.9","34.8","48.7","0","28718","1","0","7.01","9.969","17.1","129"
"68","2017-05-09 13:46:21","1006","10.08","11.29","100.9","6.63","110.9","35","48.9","0","28574","1","0","7.02","9.985","17.1","129"
"69","2017-05-16 14:16:33","999.7","12.4","10.68","101.6","8.18","122.6","34.9","45.8","0","28679","0.999","0","0.29","0.407","25.5","136"
"70","2017-05-16 14:16:40","999.6","12.36","10.76","102.1","8.06","118.2","34.8","45.9","0","28714","0.999","0","0.28","0.395","25.5","136"
"71","2017-05-16 14:16:50","999.7","12.24","10.81","102.4","7.97","113.7","34.8","45.9","0","28764","0.999","0","0.48","0.678","25.6","136"
"72","2017-05-16 14:17:00","999.7","12.2","10.82","102.3","7.91","111.4","34.9","46.1","0","28675","0.999","0","0.59","0.834","25.6","136"
"73","2017-05-16 14:17:10","999.6","12.13","10.82","102.2","7.85","108.7","34.8","46.2","0","28698","0.999","0","0.84","1.2","25.6","136"
"74","2017-05-16 14:17:20","999.6","12.06","10.84","102.2","7.78","106.2","34.8","46.1","0","28774","1","0","0.98","1.399","25.7","136"
"75","2017-05-16 14:17:30","999.5","12.01","10.86","102.3","7.76","102.5","34.8","46.3","0","28723","1","0","1.2","1.71","25.7","136"
"76","2017-05-16 14:17:50","999.5","11.96","10.86","102.2","7.69","98","34.8","46.3","0","28711","1","0","1.72","2.453","25.7","136"
