"","Created","Baro..mbar.","Temp..C.","RDO..mg.L.","RDO.Sat....","pH..pH.","ORP..mV.","Act.Cond..µS.cm.","Sp.Cond..µS.cm.","Salinity..psu.","Resist..Ohm.cm.","Density..g.cm.3.","TDS..ppt.","Depth..m.","Pressure..psi.","Air.Temp..C.","YearDay"
"1","","","","","","","","","","","","","","","","",""
"2","2019-03-14 12:05:29","1016.3","1.69","12.44","89.9","8.16","80.5","33.8","60","0","29625","1","0","-0.13","-0.041","19.9","73"
"3","2019-03-14 12:05:38","1016.2","1.35","12.62","89.9","8.12","78.7","33.2","60.1","0","30138","1","0","-0.14","-0.054","19.9","73"
"4","2019-03-14 12:05:48","1016.2","1.67","12.65","90","8.1","80.1","33","59.9","0","30298","1","0","-0.14","-0.052","19.9","73"
"5","2019-03-14 12:05:58","1016.2","0.98","12.81","89.9","7.96","80.3","32.5","60.1","0","30758","1","0","0.08","0.262","19.8","73"
"6","2019-03-14 12:06:08","1016.2","1.36","12.74","89.8","7.96","77.1","32.6","59.8","0","30708","1","0","0.1","0.29","19.7","73"
"7","2019-03-14 12:06:18","1016.2","1.56","12.59","89.5","7.95","76.1","32.7","59.4","0","30558","1","0","0.1","0.298","19.7","73"
"8","2019-03-14 12:06:28","1016.2","1.57","12.54","89.3","7.92","74.8","32.7","59.3","0","30557","1","0","0.11","0.314","19.6","73"
"9","2019-03-14 12:06:38","1016.2","1.46","12.59","89.4","7.91","73.8","32.9","59.8","0","30397","1","0","0.12","0.328","19.6","73"
"10","2019-03-14 12:06:48","1016.3","0.83","12.75","89.5","7.89","74.5","32.4","59.7","0","30884","1","0","0.13","0.339","19.5","73"
"11","2019-03-14 12:06:58","1016.2","0.93","12.82","89.5","7.89","73.2","32.4","60.3","0","30832","1","0","0.14","0.346","19.4","73"
"12","2019-03-14 12:07:08","1016.2","0.72","12.73","89.2","7.76","77.6","32.3","59.7","0","30976","1","0","0.29","0.567","19.4","73"
"13","2019-03-14 12:07:18","1016.2","1.42","13.03","91.8","7.81","74.5","33.3","61.2","0","30034","1","0","0.97","1.529","19.3","73"
"14","2019-03-14 12:07:28","1016.2","1.46","12.81","91","7.82","73.7","33.3","60.5","0","30057","1","0","0.98","1.546","19.3","73"
"15","2019-03-14 12:07:38","1016.2","1.51","12.81","91.2","7.8","74.4","33.2","60.2","0","30138","1","0","0.96","1.519","19.2","73"
"16","2019-03-14 12:07:58","1016.2","1.56","12.79","91.1","7.82","73.4","33.2","60.1","0","30104","1","0","0.97","1.536","19","73"
"17","2019-03-14 12:08:08","1016.3","1.56","12.82","91.3","7.81","73.4","33.2","60.2","0","30084","1","0","0.98","1.552","18.8","73"
"18","2019-03-14 12:08:18","1016.2","1.58","12.82","91.3","7.74","75.3","33.3","60.3","0","30038","1","0","0.98","1.542","18.6","73"
"19","2019-03-14 12:08:28","1016.2","1.67","12.89","91.9","7.76","74.8","33.5","60.5","0","29892","1","0","0.98","1.55","18.4","73"
"20","2019-03-14 12:08:38","1016.2","1.72","12.86","91.9","7.72","76.4","33.4","60.3","0","29898","1","0","0.98","1.547","18.2","73"
"21","2019-03-14 12:08:48","1016.2","1.98","12.84","92.2","7.72","75.6","33.6","60.2","0","29795","1","0","1.02","1.6","18","73"
"22","2019-03-14 12:08:58","1016.2","2.36","12.74","92.3","7.64","77.9","34.1","60.5","0","29286","1","0","1.97","2.948","17.8","73"
"23","2019-03-14 12:09:08","1016.2","2.35","12.65","92.2","7.7","75.8","34.3","60.5","0","29117","1","0","2.47","3.658","17.6","73"
"24","2019-03-14 12:09:18","1016.2","2.34","12.64","92.1","7.73","74.7","34.3","60.5","0","29125","1","0","2.47","3.669","17.4","73"
"25","2019-03-14 12:09:28","1016.2","2.34","12.65","92.1","7.73","74.7","34.3","60.4","0","29169","1","0","2.47","3.658","17.2","73"
"26","2019-03-14 12:09:38","1016.2","2.4","12.66","92.1","7.65","79.3","34.4","60.6","0","29106","1","0","2.4","3.563","17.1","73"
"27","2019-03-14 12:09:48","1016.2","2.4","12.64","92.1","7.62","79.3","34.5","60.7","0","28994","1","0","2.2","3.274","16.9","73"
"28","2019-03-14 12:09:58","1016.2","2.39","12.61","91.9","7.68","76.3","34.3","60.4","0","29117","1","0","2.19","3.265","16.7","73"
