"","Created","Baro..mbar.","Temp..C.","RDO..mg.L.","RDO.Sat....","pH..pH.","ORP..mV.","Act.Cond..µS.cm.","Sp.Cond..µS.cm.","Salinity..psu.","Resist..Ohm.cm.","Density..g.cm.3.","TDS..ppt.","Depth..m.","Pressure..psi.","Air.Temp..C.","YearDay"
"1","","","","","","","","","","","","","","","","",""
"2","2018-06-22 14:04:22","1007.4","28.07","7.37","95.2","5","55.3","0.1","0.1","0","9019164","0.996","0","0","-0.005","32","173"
"3","2018-06-22 14:04:29","1007.4","23.74","8.28","101.7","7.24","267.1","97.4","96.6","0","10266","0.997","0","0.01","0.011","32","173"
"4","2018-06-22 14:04:39","1007.4","23.53","8.91","105.5","7.14","264.8","91.3","94","0","10949","0.997","0","0.61","0.862","32","173"
"5","2018-06-22 14:04:48","1007.4","23.45","8.88","105.2","7.07","259","91.3","94","0","10951","0.997","0","0.45","0.639","32","173"
"6","2018-06-22 14:04:59","1007.5","23.49","8.85","104.7","7.04","255.9","91.3","94","0","10958","0.997","0","0.54","0.771","32.1","173"
"7","2018-06-22 14:05:08","1007.4","23.35","8.86","104.6","6.99","252.2","91.2","94.2","0","10959","0.997","0","0.66","0.943","32.1","173"
"8","2018-06-22 14:05:19","1007.4","23.25","8.85","104.4","7","248.2","91.2","94.3","0","10959","0.998","0","0.76","1.076","32.2","173"
"9","2018-06-22 14:05:29","1007.4","23.2","8.84","104.1","6.98","242.7","91.2","94.4","0","10965","0.998","0","0.8","1.144","32.2","173"
"10","2018-06-22 14:05:38","1007.4","23.05","8.84","104","6.95","241","91.2","94.6","0","10963","0.998","0","0.87","1.231","32.2","173"
"11","2018-06-22 14:05:49","1007.5","23.02","8.85","103.8","6.94","238.4","91.2","94.7","0","10968","0.998","0","0.92","1.303","32.3","173"
"12","2018-06-22 14:05:58","1007.4","22.98","8.84","103.8","6.93","234.3","91.2","94.7","0","10968","0.998","0","1.02","1.446","32.3","173"
"13","2018-06-22 14:06:09","1007.4","22.94","8.84","103.7","6.94","230.7","91.2","94.8","0","10967","0.998","0","1.2","1.707","32.3","173"
"14","2018-06-22 14:06:18","1007.5","22.93","8.86","103.8","6.91","229.3","91.3","95.1","0","10951","0.998","0","1.28","1.822","32.4","173"
"15","2018-06-22 14:06:29","1007.5","22.89","8.85","103.7","6.91","226.6","91.3","95","0","10956","0.998","0","1.34","1.913","32.4","173"
