"","Created","Baro..mbar.","Temp..C.","RDO..mg.L.","RDO.Sat....","pH..pH.","ORP..mV.","Act.Cond..µS.cm.","Sp.Cond..µS.cm.","Salinity..psu.","Resist..Ohm.cm.","Density..g.cm.3.","TDS..ppt.","Depth..m.","Pressure..psi.","Air.Temp..C.","YearDay"
"1","","","","","","","","","","","","","","","","",""
"2","2018-06-22 09:33:28","1010.7","21.6","10.02","112.1","7.28","189","69.9","76","0","14308","0.998","0","0","0.003","23.2","173"
"3","2018-06-22 09:33:36","1010.7","21.78","9.55","109.1","7.28","188.2","57.9","61.7","0","17277","0.998","0","0.24","0.335","23.3","173"
"4","2018-06-22 09:33:46","1010.7","21.69","9.4","107.2","7.27","179.7","57.6","61.4","0","17375","0.998","0","0.4","0.564","23.4","173"
"5","2018-06-22 09:33:56","1010.7","21.67","9.3","106.1","7.23","172.4","57.5","61.4","0","17391","0.998","0","0.48","0.687","23.5","173"
"6","2018-06-22 09:34:06","1010.7","21.6","9.19","104.6","7.21","166.2","57.3","61.3","0","17437","0.998","0","0.56","0.794","23.6","173"
"7","2018-06-22 09:34:16","1010.6","21.59","9.12","103.8","7.19","159.9","57.3","61.3","0","17437","0.998","0","0.68","0.974","23.7","173"
"8","2018-06-22 09:34:26","1010.6","21.55","9.06","103.1","7.17","155","57.3","61.3","0","17462","0.998","0","0.71","1.003","23.8","173"
"9","2018-06-22 09:34:36","1010.7","21.55","9.04","102.8","7.16","150.4","57.2","61.2","0","17488","0.998","0","0.77","1.099","23.9","173"
"10","2018-06-22 09:34:46","1010.6","21.54","9.02","102.5","7.15","146.4","57.2","61.2","0","17483","0.998","0","0.84","1.2","24","173"
"11","2018-06-22 09:34:56","1010.6","21.51","8.99","102.2","7.14","143.5","57.2","61.2","0","17497","0.998","0","0.9","1.283","24.2","173"
"12","2018-06-22 09:35:06","1010.6","21.5","8.98","102","7.12","140.6","57.1","61.2","0","17505","0.998","0","1.03","1.466","24.3","173"
"13","2018-06-22 09:35:16","1010.5","21.48","8.97","101.9","7.12","137.3","57.1","61.2","0","17518","0.998","0","1.1","1.566","24.4","173"
"14","2018-06-22 09:35:26","1010.6","21.46","8.96","101.7","7.12","135.1","57.1","61.2","0","17514","0.998","0","1.18","1.682","24.5","173"
"15","2018-06-22 09:35:36","1010.6","21.46","8.95","101.6","7.1","133.7","57","61.1","0","17539","0.998","0","1.27","1.808","24.6","173"
"16","2018-06-22 09:35:46","1010.5","21.45","8.94","101.5","7.1","131.6","57","61.1","0","17544","0.998","0","1.35","1.927","24.8","173"
"17","2018-06-22 09:35:56","1010.6","21.44","8.93","101.3","7.1","129.6","57","61.1","0","17550","0.998","0","1.43","2.03","24.9","173"
"18","2018-06-22 09:36:06","1010.6","21.42","8.93","101.3","7.1","128.3","56.9","61.1","0","17565","0.998","0","1.5","2.135","25.1","173"
"19","2018-06-22 09:36:16","1010.5","21.42","8.92","101.2","7.1","127.2","56.9","61.1","0","17564","0.998","0","1.63","2.323","25.2","173"
"20","2018-06-22 09:36:26","1010.5","21.39","8.91","101.1","7.09","126.4","56.9","61.1","0","17570","0.998","0","1.82","2.593","25.3","173"
"21","2018-06-22 09:36:36","1010.5","21.37","8.89","100.8","7.07","126.4","56.9","61.1","0","17588","0.998","0","2.02","2.869","25.5","173"
"22","2018-06-22 09:36:46","1010.6","21.34","8.89","100.8","7.08","125","56.8","61.1","0","17595","0.998","0","2.07","2.945","25.7","173"
"23","2018-06-22 09:36:56","1010.5","21.33","8.89","100.6","7.07","124.9","56.8","61","0","17615","0.998","0","2.25","3.204","25.8","173"
"24","2018-06-22 09:37:06","1010.6","21.29","8.89","100.7","7.06","125.1","56.7","61.1","0","17622","0.998","0","2.38","3.389","26","173"
"25","2018-06-22 09:37:16","1010.5","21.29","8.88","100.5","7.08","122.9","56.8","61.1","0","17620","0.998","0","2.44","3.467","26.1","173"
"26","2018-06-22 09:37:26","1010.6","21.29","8.88","100.5","7.09","122","56.8","61.1","0","17618","0.998","0","2.48","3.529","26.2","173"
"27","2018-06-22 09:37:36","1010.5","21.29","8.88","100.4","7.09","121.4","56.7","61.1","0","17626","0.998","0","2.58","3.664","26.4","173"
"28","2018-06-22 09:37:46","1010.6","21.27","8.87","100.3","7.08","121.7","56.7","61","0","17640","0.998","0","2.63","3.743","26.5","173"
"29","2018-06-22 09:37:56","1010.5","21.24","8.86","100.1","7.07","121.8","56.6","61","0","17666","0.998","0","2.74","3.897","26.6","173"
"30","2018-06-22 09:38:06","1010.4","21.2","8.85","100","7.07","121.2","56.6","61","0","17672","0.998","0","2.86","4.061","26.6","173"
"31","2018-06-22 09:38:16","1010.5","21.19","8.84","99.8","7.08","120.5","56.5","60.9","0","17693","0.998","0","2.9","4.125","26.8","173"
"32","2018-06-22 09:38:26","1010.5","21.17","8.83","99.7","7.08","120.8","56.5","60.9","0","17710","0.998","0","2.94","4.177","26.8","173"
"33","2018-06-22 09:38:36","1010.5","21.15","8.82","99.6","7.06","121.3","56.5","60.9","0","17713","0.998","0","3.04","4.322","27","173"
"34","2018-06-22 09:38:46","1010.5","21.15","8.81","99.4","7.07","120.1","56.5","61","0","17706","0.998","0","3.19","4.536","27.1","173"
"35","2018-06-22 09:38:56","1010.5","21.12","8.81","99.3","7.07","119.9","56.5","61","0","17711","0.998","0","3.24","4.615","27.2","173"
"36","2018-06-22 09:39:06","1010.6","21.07","8.79","99.2","7.01","123.2","56.4","60.9","0","17724","0.998","0","3.51","4.995","27.3","173"
"37","2018-06-22 09:39:16","1010.5","21.06","8.78","98.9","7.05","120.3","56.4","60.9","0","17746","0.998","0","3.67","5.226","27.4","173"
"38","2018-06-22 09:39:26","1010.5","21.06","8.76","98.6","7.06","119.6","56.3","60.9","0","17762","0.998","0","3.75","5.339","27.5","173"
"39","2018-06-22 09:39:36","1010.6","21.02","8.73","98.3","7.07","118.7","56.3","60.9","0","17775","0.998","0","3.81","5.414","27.6","173"
"40","2018-06-22 09:39:46","1010.6","21","8.73","98.2","7.05","119.5","56.3","60.9","0","17775","0.998","0","3.85","5.481","27.7","173"
"41","2018-06-22 09:39:56","1010.6","20.99","8.72","98.1","7.06","120","56.2","60.9","0","17785","0.998","0","3.92","5.573","27.9","173"
"42","2018-06-22 09:40:06","1010.6","20.97","8.72","98","7.04","120.7","56.3","60.9","0","17774","0.998","0","4.05","5.755","28","173"
"43","2018-06-22 09:40:16","1010.7","20.97","8.71","97.9","7.05","119.3","56.2","60.9","0","17795","0.998","0","4.15","5.903","28.1","173"
"44","2018-06-22 09:40:26","1010.6","20.97","8.7","97.9","7.07","118.3","56.2","60.9","0","17796","0.998","0","4.25","6.05","28.2","173"
"45","2018-06-22 09:40:36","1010.6","20.95","8.71","97.9","7.07","118.2","56.2","60.9","0","17796","0.998","0","4.35","6.19","28.3","173"
"46","2018-06-22 09:40:46","1010.6","20.93","8.73","98","7.06","118.5","56.1","60.9","0","17817","0.998","0","4.45","6.328","28.4","173"
"47","2018-06-22 09:40:56","1010.5","20.93","8.73","98.1","7.06","118.4","56.2","60.9","0","17807","0.998","0","4.53","6.442","28.5","173"
"48","2018-06-22 09:41:06","1010.5","20.93","8.73","98","7.07","118.2","56.1","60.9","0","17810","0.998","0","4.58","6.517","28.6","173"
"49","2018-06-22 09:41:16","1010.7","20.92","8.73","98.1","7.07","118","56.1","60.8","0","17828","0.998","0","4.67","6.645","28.8","173"
"50","2018-06-22 09:41:26","1010.6","20.9","8.74","98.2","7.06","118.4","56.1","60.8","0","17831","0.998","0","4.77","6.783","28.9","173"
"51","2018-06-22 09:41:36","1010.6","20.88","8.74","98.1","7.06","118.3","56.1","60.9","0","17820","0.998","0","4.87","6.933","29","173"
"52","2018-06-22 09:41:46","1010.6","20.88","8.73","98","7.06","118.2","56.1","60.9","0","17823","0.998","0","4.99","7.095","29.1","173"
"53","2018-06-22 09:41:56","1010.6","20.84","8.73","97.9","7.04","118.7","56.1","60.9","0","17833","0.998","0","5.09","7.235","29.2","173"
"54","2018-06-22 09:42:06","1010.6","20.84","8.72","97.8","7.01","120","56","60.8","0","17856","0.998","0","5.16","7.336","29.3","173"
"55","2018-06-22 09:42:16","1010.6","20.84","8.69","97.4","7.06","117.8","56","60.9","0","17852","0.998","0","5.22","7.429","29.4","173"
