"","Created","Baro..mbar.","Temp..C.","RDO..mg.L.","RDO.Sat....","pH..pH.","ORP..mV.","Act.Cond..µS.cm.","Sp.Cond..µS.cm.","Salinity..psu.","Resist..Ohm.cm.","Density..g.cm.3.","TDS..ppt.","Depth..m.","Pressure..psi.","Air.Temp..C.","YearDay"
"1","","","","","","","","","","","","","","","","",""
"2","2017-05-11 10:18:40","1008.1","10.71","10.95","99.2","7.11","164.6","34.8","47.9","0","28706","1","0","0.45","0.635","12.6","131"
"3","2017-05-11 10:18:43","1008.1","10.72","10.95","99.2","7.02","163.2","34.8","47.9","0","28706","1","0","0.45","0.635","12.6","131"
"4","2017-05-11 10:19:03","1008.1","10.72","10.95","99.1","6.85","161.6","34.9","48","0","28643","1","0","1.03","1.46","12.5","131"
"5","2017-05-11 10:19:13","1008.1","10.71","10.94","99.1","6.84","161.1","34.9","48","0","28672","1","0","1.24","1.763","12.5","131"
"6","2017-05-11 10:19:23","1008.1","10.71","10.94","99.1","6.83","159.3","34.9","47.9","0","28688","1","0","1.31","1.862","12.5","131"
"7","2017-05-11 10:19:33","1008.1","10.7","10.94","99.1","6.82","158.4","34.9","47.9","0","28684","1","0","1.42","2.022","12.5","131"
"8","2017-05-11 10:19:53","1008.1","10.69","10.94","99","6.81","157.2","34.9","47.9","0","28693","1","0","1.78","2.536","12.5","131"
"9","2017-05-11 10:20:03","1008","10.69","10.94","99","6.81","158.1","34.9","48","0","28693","1","0","2.09","2.97","12.5","131"
"10","2017-05-11 10:20:13","1008.1","10.69","10.93","98.9","6.82","156.9","34.8","47.9","0","28712","1","0","2.37","3.368","12.5","131"
"11","2017-05-11 10:20:23","1008.1","10.69","10.92","98.9","6.82","156.6","34.8","48","0","28700","1","0","2.51","3.567","12.5","131"
"12","2017-05-11 10:20:33","1008.1","10.69","10.93","98.9","6.81","156.7","34.9","48","0","28678","1","0","2.78","3.948","12.5","131"
"13","2017-05-11 10:20:43","1008","10.69","10.93","98.9","6.83","155.8","34.9","48","0","28656","1","0","2.91","4.135","12.4","131"
"14","2017-05-11 10:20:53","1008.1","10.69","10.91","98.7","6.82","156.1","34.8","47.9","0","28711","1","0","3.09","4.391","12.4","131"
"15","2017-05-11 10:21:03","1008.1","10.69","10.92","98.8","6.82","156.3","34.8","48","0","28699","1","0","3.4","4.842","12.4","131"
"16","2017-05-11 10:21:13","1008.1","10.69","10.92","98.9","6.83","155.6","34.8","47.9","0","28710","1","0","3.48","4.943","12.4","131"
