"","Created","Baro..mbar.","Temp..C.","RDO..mg.L.","RDO.Sat....","pH..pH.","ORP..mV.","Act.Cond..µS.cm.","Sp.Cond..µS.cm.","Salinity..psu.","Resist..Ohm.cm.","Density..g.cm.3.","TDS..ppt.","Depth..m.","Pressure..psi.","Air.Temp..C.","YearDay"
"1","","","","","","","","","","","","","","","","",""
"2","2018-06-22 14:43:31","1007.3","23.2","9.3","109.5","7.1","244.1","82.6","85.6","0","28493","0.998","0","0.23","0.333","32.2","173"
"3","2018-06-22 14:43:35","1007.3","23.21","9.3","109.5","7.08","231.5","82.6","85.6","0","12100","0.998","0","0.24","0.348","32.2","173"
"4","2018-06-22 14:43:45","1007.3","23.22","9.27","109.2","7.11","218.6","82.6","85.5","0","12102","0.998","0","0.24","0.335","32.2","173"
"5","2018-06-22 14:43:55","1007.3","23.23","9.24","108.9","7.12","207.2","82.6","85.5","0","12101","0.998","0","0.27","0.378","32.2","173"
"6","2018-06-22 14:44:05","1007.3","23.21","9.21","108.4","7.13","197.7","82.6","85.5","0","12104","0.998","0","0.3","0.425","32.2","173"
"7","2018-06-22 14:44:15","1007.4","23.21","9.2","108.4","7.13","190.2","82.6","85.5","0","12103","0.998","0","0.51","0.72","32.2","173"
"8","2018-06-22 14:44:25","1007.3","23.2","9.19","108.2","7.13","182.7","82.6","85.6","0","12101","0.998","0","0.69","0.981","32.2","173"
"9","2018-06-22 14:44:35","1007.3","23.16","9.19","108.2","7.16","176.4","82.6","85.6","0","12102","0.998","0","0.73","1.042","32.2","173"
"10","2018-06-22 14:44:45","1007.2","23.12","9.19","108.1","7.13","171.3","82.4","85.5","0","12130","0.998","0","0.88","1.248","32.1","173"
"11","2018-06-22 14:44:55","1007.3","23.11","9.2","108.1","7.17","163.9","82.5","85.6","0","12125","0.998","0","0.98","1.391","32.1","173"
"12","2018-06-22 14:45:05","1007.3","23.11","9.19","108","7.18","159.3","82.5","85.6","0","12122","0.998","0","1.08","1.532","32.1","173"
"13","2018-06-22 14:45:15","1007.3","23.07","9.2","108.1","7.18","156.5","82.4","85.5","0","12136","0.998","0","1.15","1.629","32.1","173"
"14","2018-06-22 14:45:25","1007.3","23.03","9.21","108.1","7.18","152.9","82.3","85.4","0","12151","0.998","0","1.21","1.728","32.1","173"
"15","2018-06-22 14:45:35","1007.3","23.08","9.22","108.2","7.18","149.8","82.3","85.5","0","12146","0.998","0","1.29","1.833","32","173"
"16","2018-06-22 14:45:45","1007.2","23.07","9.2","108.1","7.19","147.2","82.4","85.5","0","12131","0.998","0","1.35","1.916","32","173"
"17","2018-06-22 14:45:55","1007.2","22.95","9.2","108","7.16","145.7","82.3","85.5","0","12148","0.998","0","1.48","2.108","32","173"
"18","2018-06-22 14:46:05","1007.3","22.85","9.2","107.7","7.18","142.8","82","85.4","0","12193","0.998","0","1.58","2.245","32","173"
"19","2018-06-22 14:46:15","1007.3","22.83","9.21","107.7","7.2","140.6","81.8","85.3","0","12223","0.998","0","1.68","2.386","31.9","173"
"20","2018-06-22 14:46:25","1007.3","22.67","9.22","107.8","7.18","140.3","81.8","85.4","0","12228","0.998","0","1.81","2.57","31.9","173"
"21","2018-06-22 14:46:35","1007.3","22.62","9.23","107.6","7.21","137.5","81.6","85.4","0","12255","0.998","0","1.93","2.742","31.9","173"
"22","2018-06-22 14:46:45","1007.2","22.44","9.24","107.5","7.17","137.7","81.3","85.3","0","12307","0.998","0","2.11","2.997","31.8","173"
"23","2018-06-22 14:46:55","1007.3","22.36","9.27","107.6","7.2","136.1","81.1","85.3","0","12331","0.998","0","2.23","3.177","31.8","173"
"24","2018-06-22 14:47:05","1007.3","22.29","9.29","107.6","7.22","134.4","80.9","85.3","0","12359","0.998","0","2.36","3.356","31.8","173"
"25","2018-06-22 14:47:15","1007.2","22.24","9.3","107.6","7.19","134.6","80.8","85.3","0","12371","0.998","0","2.49","3.535","31.8","173"
"26","2018-06-22 14:47:25","1007.3","22.25","9.31","107.7","7.21","132.9","80.8","85.3","0","12374","0.998","0","2.55","3.634","31.8","173"
"27","2018-06-22 14:47:35","1007.3","22.22","9.31","107.7","7.21","133.1","80.9","85.3","0","12367","0.998","0","2.72","3.876","31.8","173"
"28","2018-06-22 14:47:45","1007.2","22.19","9.32","107.7","7.21","131.9","80.8","85.3","0","12380","0.998","0","2.76","3.925","31.8","173"
"29","2018-06-22 14:47:55","1007.3","22.18","9.32","107.6","7.22","131","80.7","85.3","0","12393","0.998","0","2.97","4.224","31.8","173"
"30","2018-06-22 14:48:05","1007.3","22.16","9.32","107.6","7.24","131.5","80.7","85.3","0","12390","0.998","0","3.01","4.287","31.9","173"
"31","2018-06-22 14:48:15","1007.2","22.14","9.31","107.5","7.24","129.1","80.7","85.3","0","12396","0.998","0","3.13","4.457","31.9","173"
"32","2018-06-22 14:48:25","1007.2","22.13","9.32","107.5","7.24","129.1","80.7","85.3","0","12396","0.998","0","3.18","4.529","31.9","173"
"33","2018-06-22 14:48:35","1007.2","22.09","9.32","107.5","7.26","127.7","80.7","85.4","0","12394","0.998","0","3.21","4.57","32","173"
"34","2018-06-22 14:48:45","1007.2","22.09","9.31","107.4","7.24","128.5","80.6","85.4","0","12405","0.998","0","3.26","4.637","32","173"
"35","2018-06-22 14:48:55","1007.2","22.01","9.29","107.1","7.24","129.5","80.5","85.3","0","12419","0.998","0","3.35","4.772","32.1","173"
"36","2018-06-22 14:49:05","1007.2","21.99","9.3","107","7.22","129","80.5","85.4","0","12424","0.998","0","3.44","4.898","32.1","173"
"37","2018-06-22 14:49:15","1007.3","21.95","9.3","106.9","7.24","128.2","80.4","85.4","0","12439","0.998","0","3.5","4.973","32.2","173"
"38","2018-06-22 14:49:25","1007.2","21.88","9.29","106.8","7.22","128.7","80.4","85.4","0","12441","0.998","0","3.69","5.246","32.2","173"
"39","2018-06-22 14:49:35","1007.3","21.84","9.29","106.7","7.24","128.1","80.2","85.3","0","12468","0.998","0","3.82","5.431","32.3","173"
